type,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
        Other services,5.112,4.931,4.572,4.205,4.015,4.075,4.121,4.186,4.396,4.366,4.416,4.452,4.657,5.072,5.662,6.254,6.648,6.956,7.433,7.805,7.978,8.171,8.59,8.905,9.235,9.389,9.536,9.866,10.198,10.469,10.77,11.07,11.197,11.379,11.626,11.885,12.19,12.542,12.943,13.516,14.17,14.853,15.729,16.535,17.507,19.4,20.791,22.09,23.225,24.444,26.218,28.599,31.535,33.989,35.908,37.735,39.109,41.161,42.161,43.929,45.582,47.424,49.704,51.819,53.617,55.625,57.454,59.122,60.765,62.051,63.55,64.685,66.808,69.484,72.274,74.804,77.435,80.193,82.834,86.405,88.487,90.705,92.442,94.534,96.678,97.875,98.577,99.619,100,101.705,102.932,104.763,106.837,110.555
    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1,22.026,21.185,19.369,17.999,17.322,18.277,18.413,18.912,19.901,19.375,19.407,19.382,20.319,22.048,23.652,24.731,25.586,28.224,32.831,35.367,35.67,37.091,40.198,40.284,41.009,42.045,43.129,45.128,47.166,48.393,49.275,45.964,46.441,47.099,47.853,48.039,49.383,51.198,52.85,54.857,58.336,60.88,64.283,66.939,71.254,81.568,89.06,93.679,100.094,106.662,117.097,127.988,134.336,127.332,117.771,112.653,110.171,106.552,104.501,103.293,96.543,88.435,81.779,74.313,70.344,70.205,70.136,71.352,74.377,79.424,82.277,86.813,90.87,91.264,88.047,87.058,88.949,90.109,91.129,91.761,89.09,87.861,88.839,89.174,89.978,91.682,94.805,97.582,100,101.337,104.037,104.866,112.97,125.574
        Gross output of nonprofit institutions2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.485,8.699,8.863,9.031,9.249,9.473,9.749,10.088,10.551,11.108,11.836,12.614,13.221,13.848,14.735,16.502,18.161,19.573,21.036,22.636,24.906,27.88,30.924,33.34,35.143,36.844,38.327,39.668,41.408,43.849,46.265,48.459,50.71,52.552,54.173,55.735,57.309,58.88,60.385,62.192,63.892,66.396,68.953,70.924,72.837,75.126,77.742,80.425,82.858,84.987,86.147,87.607,89.363,91.049,92.69,94.267,96.041,97.933,100,102.15,104.528,107.026,111.489,117.345
        Less: Receipts from sales of goods and services by nonprofit institutions3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.813,5.184,5.304,5.417,5.568,5.756,5.927,6.127,6.446,6.826,7.279,7.82,8.174,8.58,9.128,10.143,11.193,12.162,13.096,14.136,15.564,17.553,19.805,22.197,24.319,26.2,27.765,29.322,31.179,33.691,36.833,40.106,43.484,46.76,49.362,51.218,53.1,54.713,55.857,56.948,58.356,60.342,62.492,64.838,68.119,71.303,74.095,77.186,80.028,82.626,85.099,87.495,89.529,91.726,93.693,95.221,96.492,98.06,100,102.446,104.709,107.841,110.919,114.41
    PCE excluding food and energy4,8.897,8.568,7.853,6.99,6.653,6.809,6.883,6.96,7.248,7.215,7.16,7.234,7.607,8.442,9.097,9.745,10.194,10.827,11.752,12.401,12.418,12.597,13.369,13.635,13.93,14.081,14.218,14.548,14.988,15.312,15.652,15.932,16.129,16.347,16.566,16.815,17.027,17.409,17.941,18.714,19.587,20.504,21.469,22.16,23.003,24.825,26.899,28.534,30.369,32.382,34.743,37.936,41.26,43.942,46.191,48.106,50.06,51.788,53.46,55.732,58.045,60.397,62.554,64.456,66.206,67.688,69.163,70.474,71.718,72.63,73.583,74.898,76.317,77.593,78.845,80.396,82.158,84.126,86.001,87.688,88.503,89.785,91.209,92.897,94.285,95.697,96.874,98.426,100,101.897,103.577,104.942,108.736,114.437
"    PCE excluding food, energy, and housing4",8.661,8.321,7.564,6.721,6.521,6.905,6.992,7.051,7.334,7.238,7.171,7.256,7.688,8.679,9.484,10.275,10.81,11.552,12.627,13.311,13.259,13.404,14.268,14.489,14.718,14.815,14.944,15.311,15.814,16.162,16.54,16.843,17.046,17.282,17.518,17.802,18.037,18.472,19.084,19.986,20.978,21.98,23.017,23.738,24.618,26.798,29.148,30.891,32.75,34.904,37.417,40.856,44.307,47.013,49.326,51.258,53.13,54.681,56.29,58.654,61.088,63.478,65.803,67.846,69.687,71.162,72.575,73.776,74.915,75.571,76.332,77.464,78.607,79.546,80.679,82.172,83.909,85.723,87.395,88.963,89.625,91.214,92.711,94.361,95.602,96.774,97.589,98.799,100,101.589,102.898,103.916,107.919,113.458
    Energy goods and services5,7.764,7.542,6.894,6.745,6.633,6.852,6.777,6.87,6.947,6.839,6.651,6.644,6.858,7.139,7.306,7.404,7.389,7.537,8.201,9.051,9.164,9.241,9.441,9.579,9.859,9.981,10.079,10.299,10.632,10.578,10.706,10.953,10.994,11.03,11.038,10.974,11.2,11.378,11.632,11.805,12.12,12.408,12.848,13.18,14.317,18.667,20.507,21.883,23.732,25.068,31.26,40.84,46.332,47.141,47.582,48.182,48.69,42.663,43.135,43.465,46.033,49.925,50.146,50.38,50.838,51.036,51.438,53.846,54.411,49.818,51.836,61.307,62.839,59.176,66.654,74.217,87.026,96.94,102.776,117.422,95.195,104.698,121.281,123.001,121.9,120.89,99.19,91.982,100,108.054,105.75,96.798,116.904,146.893
    PCE services excluding energy and housing,4.658,4.521,4.153,3.748,3.59,3.709,3.836,3.897,4.039,3.988,3.975,4.02,4.209,4.616,5.032,5.346,5.568,6.001,6.536,6.878,6.957,7.122,7.51,7.781,8.054,8.25,8.404,8.645,8.959,9.213,9.518,9.814,10.015,10.254,10.451,10.7,10.961,11.368,11.841,12.487,13.259,14.077,14.879,15.54,16.319,17.934,19.537,20.876,22.339,24.135,26.181,28.882,31.738,34.038,36.087,37.992,39.793,41.321,42.471,44.666,46.918,49.135,51.211,53.225,55.206,56.757,58.368,59.928,61.636,62.895,64.051,65.703,67.442,69.123,71.483,73.78,76.232,78.836,81.456,83.712,84.311,86.573,88.458,90.54,92.534,94.495,95.951,97.948,100,102.472,104.564,106.412,110.761,116.175
    Housing,9.718,9.442,8.905,7.973,7.156,6.525,6.555,6.704,7.017,7.238,7.234,7.258,7.381,7.57,7.618,7.683,7.776,7.956,8.258,8.767,9.057,9.367,9.777,10.194,10.715,11.04,11.2,11.391,11.604,11.837,12.037,12.229,12.398,12.549,12.704,12.834,12.961,13.157,13.41,13.739,14.192,14.799,15.486,16.044,16.727,17.354,18.477,19.686,21.345,22.809,24.57,26.827,29.559,31.991,33.914,35.681,37.812,40.05,41.871,43.75,45.567,47.709,49.216,50.564,51.941,53.402,55.052,56.719,58.31,60.156,61.833,63.852,66.355,68.976,70.715,72.503,74.36,76.968,79.712,81.888,83.32,83.358,84.478,86.309,88.308,90.742,93.536,96.666,100,103.391,106.907,109.938,112.731,119.24
    Market-based PCE6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,53.632,55.728,58.308,61.152,63.505,65.315,66.873,68.169,69.564,70.91,71.974,72.413,73.435,75.191,76.608,77.446,78.946,80.806,83.043,85.289,87.4,90.338,90.64,91.998,94.337,96.055,97.033,98.064,97.92,98.587,100,101.821,103.14,104.179,107.948,114.912
    Market-based PCE excluding food and energy6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,54.52,56.861,59.386,62.119,64.736,66.878,68.63,70.056,71.541,72.701,73.781,74.607,75.53,76.678,78.011,79.157,80.227,81.624,83.219,85.047,86.807,88.776,90.426,91.378,92.703,94.369,95.472,96.539,97.518,98.801,100,101.609,103.155,104.467,107.473,112.877
